@relation train

@attribute Document string
@attribute class-rohit {one, five}

@data
"shady old inaccurate extra",one
"horrible full small surprised great clean",one
"disappointed uncooked tiny full whole",one
"big wrong",one
"favorite dark black intentional smart small various worthy delicious pricey high nice quiet",five
"horrible multiple certain available other flat full",one
"baked wonderful flawless favorite red",five
"inconsiderate new old exact same remote",one
"worth great",five
"wonderful great happy fantastic fresh hot free tired",five
"worst nice unprofessional instructional complete obvious red green same horrible entire prepared uneven slow gutless",one
"old 1st large such inflatable actual presidential interesting",five
"rude upset funny tacky sad",one
"superb wide equal",five
"negative few able electric incredible culinary fresh nice tremendous handwritten",five
"amazing horrible many few rude bad old wrong uncomfortable",one
"awful rude pretend same",one
"disappointed 30pm nice different necessary busy super helpful rare flat grilled fantastic crisp warm good favorite amazing peppery beautiful tasty flaky delicious tiny thick great decadent",five
"same second full dumb furious less dissapointed apologetic previous higher",one
"entire sick stoic other worst",one
"amazing big massive pure huge super busy different interesting old interested younger unfortunate dizzy glad good cheap able single bad full satisfied",five
"small 4th cheaper other complete same ready amazing dry",five
"negative last new low same different main second",one
"great few 20th interrupted inconvenient perfect 54th worth useful",one
"new positive jumbo fantastic great good generous few less tough personable big",five
"successful awful glad recent old stupid big last awesome economical many comfortable nice ultimate worst high few good",one
"extra",one
"worst other open hot 20min greasy brown sour burnt 3rd satisfied",one
"sweet different good scrumptious partial mixed favorite uncomfortable rich buttery holy last",five
"gross pickiest horrible tinny poor",one
"loving few last nutritious probiotic extra awesome great friendly",five
"random great beautiful whole fair glad central",five
"own worst horrible big formal",one
"surprised reliable enjoyable solid local fresh excellent",five
"disappointed repetitious easy good pre true chic",one
"good",five
"classic professional modern old experienced many east fair clean hot own full disappointed",five
"worst experienced slow",one
"own located few unrented such recent several other human current wrong bipolar professional simple final important obvious many new non aware bad excellent entire extreme",one
"formal casual overzealous biggest small entire free additional dead main",five
"horrible cold frozen different ready rude argumentative extra few other",one
"horrible rude mere",one
"new few expensive several many additional good unprofessional open big nice whole appalling",one
"delicious good favorite white great many",five
"great last",five
"terrible sorry good rude cold warm many",one
"excellent wrong fair few worth",five
"amazing 22nd correct ethnic eastern other good phenomenal terrific heavy hungry hot novel sweet",five
"last great ultimate free same upfront sorry",one
"slow soggy dry",one
"full amazing awesome",five
"last utter irish fantastic traditional own rude mid professional tactful nice same",one
"high arrogant rude",one
"summery rough old obvious blue own heavy new important stupid good disrespectful deceitful respectful cheap interested comfortable rudest positive great other",one
"needless super helpful easy atypical nervous able happy nice awesome friendly",five
"horrible insane different ready final fitting big extra other new huge 30am furious general",one
"wonderful fabulous quick special non traditional religious civil proper false unacceptable great major",one
"such bad young flat familiar fixable low expensive annoyed cheaper new",one
"clean same strong consistent great super friendly wrong",five
"",five
"horrible many",one
"okay miserable red naughty other black worse poor blank nice good",five
"big full last major",one
"old less menial pointed honest",five
"other worth dead nice tolerable awesome",five
"good bad great okay",five
"worst bad",one
"easy such few open",five
"nice",five
"horrible other additional rude",one
"amazing cheap free big fresh mexican good roasted low loud few odd worth",five
"poor",one
"awful horrid devoid non reasonable",one
"disappointed same many great good",one
"strong terrible",one
"full good",five
"several lovely local central rare old amazing",five
"gross last rude dirty wrong",one
"frozen",one
"fantastic great authentic high stellar",five
"terrible",one
"open whole limited great perfect okay",five
"high low prettiest cold yummy great big easy",five
"tasty great inexpensive bad",five
"romantic great wonderful few super delicious free baked amazing",five
"worth hungry private spotless",five
"awesome great nice amazing full good heavy complete new favorite second delicious",five
"complete utter many high few big worse cheesy similar decent edible smaller greasy",one
"",one
"blue last professional knowledgeable honest convinced quieter constant dark",five
"disrespectful low expensive 19th horrible great different",one
"worst entire good rid perfect new few different several retail cutest reasonable private utter open great",five
"last hot absolute lame own good needless least",one
"worst happy 430ish packed regular possible eager least entire empty optimistic such experienced shocking rude arrogant rare inappropriate other",one
"numerous wrong same green few apt untrustworthy unreliable shady",one
"good italian cute packed plentiful few many roasted green red warm thick special fresh delicious safe poorest baked dry overcooked bland nightly okay spectacular glad decent inexpensive great wrong",one
"excellent favorite",five
"separate rude ignorant",one
"pregnant fantastic great pricey worth",five
"new sympathetic second convenient weird loud horrible",one
"shitty many less able beautiful disappointed worth",one
"horrible third worse worst",one
"southern great exciting",five
"horrible poor small high flabby warm available",one
"favorite fantastic fabulous big fresh simple extraordinary awesome nice happy smaller own",five
"yummy adorable great bad constant cute nice rough",one
"overdrawn good",one
"good horrible worse same quick brown gray new bad",one
"less diagnostic 2nd",one
"serious other",one
"horrible new smaller whole larger livid",one
"picky satisfied old good big small mexican large high",one
"worst multiple wrong sloppy disappointing open",one
"beautiful wonderful",five
"filthy terrible empty easy dead devoid basic disappointing rude dirty small diseased",one
"terrible hot 30pm open unsure pleasant relieved few middle quick interested inflexible embarrassing heavy other great terrific worth bad restricted less",one
"non alcoholic own other great awesome full okay big ready busy hungry separate last entire awkward tacky",one
"phoenician dumbfounded fest warm nice good pre local",five
"2nd limited small many excellent great cozy",five
"50th cheap white green nice",five
"skeptical special delicious different typical good super friendly great",five
"impressed okay lumpy worth special slow disappointed other whole unpleasant small",one
"disappointed fecal additional inexperienced upset cleaner old uncomfortable knowledgeable courteous necessary",one
"great cheap japanese regular ironic suspicious blackest worst available starter whole other good turkish shady less",one
"",five
"irritated temporary original unable intense other full",one
"excellent good crispy sweet savory delicious amazing huge seasoned alcoholic",five
"serious trim clean open black second impressive",one
"local strange favorite definite young awesome warm genuine corporate baked danish",five
"clean efficient courteous friendly interested great hot cold applicable genuine",five
"specific big decent great easy sweet sour good smart friendly huge tasty happy",five
"good unique crazy french whole",five
"cheap happy good awesome grilled great sorry",five
"frustrated hung worst shady",one
"free extra frozen pre great",five
"least few many baked new good young hot swiss golden brown full french select dry own organic pure non costly thin greasy nice thick natural pathetic unfortunate horrible big paltry able creepy lousy original extra surprising",one
"excellent wonderful bluesy talented great memorable last enthusiastic balsamic usual white subtle delicious rich vapid",five
"nicest huge speedy small good newer bigger prickly other awesome bad",five
"worth",five
"wonderful genuine willing",one
"clean other",five
"excellent new wrong",five
"other helpful professional",five
"limited nearest great complete extra attentive sweet professional copious retail flexible difficult courteous thoughtful such amazing possible corporate other same wonderful",five
"favorite green sour few good fluffy different amazing french whole other special tasty huge lovely friendly quick tiny larger least normal indoor hot prepared",five
"comparable usable great less",one
"ridiculous other hot",one
"willing compassionate concerned urgent glad",five
"expensive high great wide tough easier errant good bloody excellent free less nicer other hot",five
"worth defective new whole nice concerned located southern",five
"new different approachable eager awesome great curious",five
"genuine great fair",five
"great excellent happy",five
"general",five
"tasteless",one
"full great other awesome timely packed 2am excellent happy perfect middle worth extra",five
"horrible unprofessional",one
"full dirtiest toxic",one
"",five
"happy located great bad super nice able open own",five
"different generous raw special mild surprised limited several",five
"fresh awesome small good excellent russian nice",five
"several present lovely nice pleasant simple proffesional different elegant such good",five
"great good fabulous gorgeous tasty",five
"authentic mexican abundant red dead serious nice burnt",one
"dirty new non nicer low",one
"impressed open other",one
"great awesome",five
"incredible flawless big own expensive cheap old modern particular few",five
"nice japanese other amazing due non friendly willing good harsh small big",five
"",one
"glad special good alive same own small other indoor outdoor able social bad",five
"cheap limited small second additional fair possible allergic common feline enthusiastic worse biological crazy other",one
"large intown few new nice humble single good busy rude black sorry sudden",one
"delicious crappy",five
"new least rude young own judgmental irregular expensive terrible usual healthy great",one
"holy worse ready formal new rude same",one
"open busy great delicious",five
"great awesome friendly helpful efficient other",five
"good darker older surly actual fishy great entire uneaten big bigger bloated abused fictional small",one
"",five
"facial new free",one
"successful",one
"red nice willing worth actual",five
"perfect spare delicious friendly welcome afraid",five
"few last terrible happy overwhelming cheap less full welcome ready tasty fresh empty clear cold different lukewarm heated warm several correct",one
"",one
"correct wrong gratuitous colorful adult impressionable tacky inordinate gaudy",one
"such outstanding last great excellent happy",five
"many empty okay",one
"great inconvenient small other awesome",five
"rich large good new mushy generous small fresh great",five
"notorious few least interested",one
"ready delicious hot sour friendly courteous knowledgable",five
"loyal 7th good fabulous 2nd big greasy",five
"terrible nasty mediocre super watery runny inedible green comparable nice awful",one
"",five
"extra friendly helpful happy willing other",five
"multiple",one
"favorite italian authentic amazing",five
"worst abused rude inconsiderate human stupid",one
"playful gross pre requisite",one
"quick hesitant mediocre local large empty messy previous busy high fantastic final delicious sick",one
"decent last bad blander rough slow asian fresh disappointing eastern",one
"able surprised",one
"bad clean good frozen crispy glad worth sorry",one
"inexpensive few many lucky open cheap entire other wet clean",one
"fantastic good fresh warm located old main worth great authentic friendly",five
"least amazing expensive spectacular whole small modern perfect comfy great delicious awesome worth",five
"super slow hungry ridiculous",one
"red blonde unique possible nice new rude",one
"final due whole last great",five
"important good welcome eclectic noir distinctive balanced thin substantial big bold unnatural difficult bad great",one
"hungry nice red other desperate fresh good younger",one
"red good same many",five
"dissatisfied new great",five
"favorite awesome monstrous great friendly",five
"great delicious",five
"basic old odd smaller many good high regular environmental original free few honest willing bad dishonest",one
"bad super indifferent greasy cold wrong final tacky",one
"bad wrong",one
"favorite super friendly nice",five
"unqualified same elementary interested good full old angry",one
"worst hot sour unsmoked uncured few reddish fecal same poorer uneaten sickly",one
"same stupid",one
"less efficient good different competent knowledgable military tolerant pompous bad great negative popular positive rare competitive extensive new non open decent least tiered lesser clean safe startling busy same basic surprised routine responsible adult callous careless super loud enjoyable comfortable special professional accurate",five
"helpful less",one
"great talkative",five
"white large good wrong super hungry",one
"good sorry frequent",five
"great lucky delicious fresh tasty special different pleased mixed thoughtful charming french",five
"other last middle aged petite bad hot difficult normal cold pointless good undercooked limp full strange forthcoming less hysterical",one
"good chunky green amazing",five
"great honest",five
"",one
"furious extensive reprehensible",one
"prepared delicious handwritten mobile livid rude tasty",one
"impressed weird due needless",one
"ceramic sanitary asian unclean fungal other regular awful terrible",one
"last amazing fresh alaskan few full great",five
"breathtaking romantic healthy beautiful free low high spectacular good",five
"rude unprofessional expensive same",one
"high other bad",one
"fresh delicious own huge thick regular nice many local other fantastic",five
"okay bizarre numerous infrequent disinterested such weird sorry strange good great small",one
"unexpected uninviting friendly dirty adult",one
"old cheap pretend pathetic good dark musty legal tired worse same sticky cute friendly great non",one
"current tiny desolate shaded outdoor clear fresh special slow roasted thin crunchy greasy spongy lesser same soggy phenomenal seasoned delicious good last aged yummy jealous unwrapped",five
"last numerous darn expensive rude foreign white pleased honest usual different other upset same popular sixth frustrated",one
"chunky other heavier usual entire annual wrong",one
"satisfied dirty white spotless pretreated fresh good same several",five
"great hilarious informative crazy coolest due amazing religious neat outrageous other glad east good heated crisp italian horrible bottled",five
"many great free good incredible own last few nice clean new fabulous",five
"raw cold",one
"sorry concerned sticky new good last same great polite sad lazy bad disappointed dreadful",one
"such new sad",one
"new strange",one
"old friendly great reasonable several favorite free attentive",five
"phenomenal amazing curly red friendly pleasant bland important good dental bad positive excellent professional thorough endless",five
"last new multiple",one
"indoor cheap trashiest",one
"extra second green large fresh hot tasty",five
"bare friendly english second rude other own insulting bad confident pretend extra same crazy several available last thin pathetic old free good lame many convenient new desperate",one
"young sweet helpful local huge",five
"holy removable same possible specific able worth satisfied",five
"friendly glad nice",five
"few great same disappointed",five
"terrible",one
"rude",one
"good bad strange sweet",one
"horrible good",one
"lazy shitty",one
"awesome worth",five
"horrible",one
"free sorry old dirty rude cute decent easy higher tacky bad",one
"few fantastic wonderful old",five
"microscopic adult own intercontinental",one
"several great flat happy new starter same reasonable free big",five
"disappointed rude",one
"nice 2013would less other",one
"old impossible disgusted",one
"amazing helpful alma hooked",five
"okay hot nice big comfy sectional new last good less grand mid many cheap",one
"uninformed unhelpful rude due terrible",one
"picky exceptional whole nice primal least other super helpful weird good clean casual great",five
"full dreadful entire adequate empty snippy marginal okay bland least watery lukewarm tense annoyed poor",one
"horrible mixed good worth",one
"excellent great fresh worth good",five
"few everyday free high essential awesome familiar great packed welcome",five
"white favorite awesome",five
"willing nasty incompetent horrible different old dark heavy lousy poor possible former",one
"fantastic fresh seasoned",five
"empty dirty open nordy",one
"french huge similar iced sweet other important overwhelming slow",one
"convenient mock efficient other large",one
"immediate second same wrong dry adhesive fabulous happy",one
"worth new favorite chinese great reasonable",five
"simple whole regular expensive",one
"stupid",one
"indian great hot tasty wonderful decent located large own",five
"nice dirtiest hungry snippy second welcome needless",one
"own prenatal medical pregnant capable frequent unfortunate several many paternalistic",one
"stressed great",five
"disjointed tiny hesitant proper single favorite blissful horrible least whole doublewide cheap delicious",five
"",one
"horrible",one
"beautiful new 40th valuable own",one
"terrible located several exact old small electric smaller practical expensive many last ridiculous disappointed apparent possible other",one
"new sustained busy",one
"cold busy clean packed",one
"excellent super friendly reasonable potted local",five
"worst",one
"several wrong slow general biggest cold absurd red single other lovely worth good",one
"dental high disappointed impeccable fabulous",five
"lucky terrible astonishing new unprofessional unorganized uneducated entire",one
"other new whole dark brown good",one
"beautiful mediocre thin mealy old bad perfect sad rare sour fishy gross",one
"new dishonest",one
"good such bad other great",one
"entire mediocre definite",one
"wrong unnoticed psychotropic unnecessary safe entire annoyed specific terrible",one
"great eric friendly helpful",five
"avid lovely cordial few entire thankful",five
"complete",one
"worst absolute lowest",one
"",one
"great mexican happy wonderful regular",five
"high sticky whole rotten wet last wrong classy",one
"rid full primary massive",one
"impossible clean great fresh prepared amazing good buttery soft delicious acceptable scalloped high wonderful crispy traditional english flavorful creamy small full augmented french phenomenal terrific open mere less",five
"nice bad overcooked old bland",one
"worse unhelpful present stupid dirty smelly complimentary",one
"terrible",one
"mexican entire horrible",one
"sexy bad pathetic existent",one
"holy cold other",one
"",one
"blue favorite awesome such casual welcome great same perfect sweet wrong",five
"indian big",one
"venetian certain tasty fresh warm personal grilled awful bland tasteless inedible good other dry few such slow grumpy",one
"great cheap fantastic crazy grilled",five
"several great indian limited pleasant worth outstanding flavorful difficult satisfied mild hot small lemon big white slow attentive helpful good",five
"amazing great excellent fantastic bad negative soggy excusable due remarkable",five
"horrible hideous correct full worst mexican",one
"worst many empty single specific friendly worth",one
"rare awesome helpful new cramped nice comfy small loud black blue green balsamic good last great local urban few disappointed specific less worth",five
"easy excellent professional personable knowledgable picky additional satisfied",five
"awful black gross",one
"good nice british open friendly bad dormant cheap proper older green additional final",one
"nice sleazy small",one
"3rd high middle new angry marine open danish few horrible",one
"traumatic other bad second ready special 30pm familiar iced wrong foulest undrinkable regular older good fresh possible worse italian worst new",one
"amazing sick grilled delicious orgasmic everyday new awkward middle beautiful open perfect cold",five
"happy good tasty great last 6th casual other peaced",one
"domestic gross rude stressed hot",one
"glowing terrible 30pm southern prepared famed huge pre tasty willing such frozen",one
"horrible full additional ready open scandalous dishonest rude bad",one
"worst rude many last",one
"worst able least tolerable",one
"unauthorized federal deceptive easy additional full extra different low expensive unfair same busy",one
"delicious great red",five
"many cubic",five
"thin",five
"special east important new sorry happy cheesy crunchy good cold last great ready polite cheerful cute cozy heavenly greasy",five
"good fresh blank bad difficult less fishy creamy sweet worse forgettable terrible disappointed",one
"great dang lovely efficient friendly",five
"friendly awesome crazy great",five
"fantastic pleasant",five
"other local awful bad frozen good small friendly",five
"different great cheap high",five
"different correct several other bad unfortunate",one
"horrible",one
"small large friendliest open knowledgeable new such wonderful",five
"wonderful excellent happy old massive low cheaper",five
"last worried older safe",five
"awkward least free nice complimentary helpful good",one
"closest lengthy tired cold harder",five
"good low nicer",five
"last east",five
"awesome fresh free clean friendly quick",five
"great wonderful",five
"good different",five
"italian amazing",five
"awesome good friendly",five
"native lifelong local independent solid located frozen good creamy important fresh high clean fluorescent final crazy kitschy constant several perfect impeccable worst retail sad correct",one
"worst inconsiderate heartless good arrogant incompetent pulmonary ashamed wrong",one
"larger",one
"dental high modern other professional friendly usual correct crooked crazy",five
"disappointing bad busiest young busy less reluctant good such poor old simple",one
"unbelievable",one
"new many utter middle visual unbelievable great old happy inappropriate free full peppy welcome factored concerned healthy wrong non necessary prepared exact hot available amateur flavorful heavy blue wonderful holy beautiful high second tough french dense delicious warm biggest clean sweet 6pm bottled",five
"other wet due nice great angry clean healthy decent unhappy poor",one
"good bad new sick single loud other 29th",one
"grilled nice friendly few busy",five
"disappointed french good",one
"great helpful friendly rare huge less expensive amazing new good",five
"many various friendly competent free great odd wrong pointed nice big major",one
"",one
"several rude arrogant",one
"worth super worst",one
"full delicious great",five
"flavorless wrong",one
"great perfect mediterranean soft mixed awesome grilled huge aforementioned healthy",five
"limited high",five
"unfashionable incompetent other cute",one
"last sunny overweight typical lazy healthy such great new routine positive young old",five
"good same different great free sour single own stressed last proverbial easy numerous unprofessional unorganized untimely",one
"dry soggy crispy fair",one
"different third 2nd able same",one
"worth other favorite funny",one
"terrible great busy",one
"terrible rude normal horrible",one
"favorite last unmarried amazing easy trendy pretentious great",five
"black great amazing",five
"greasy soggy limp small good fresh worse lazy",one
"several last worst big red green dirty disgusted main mixed rude",one
"favorite fair reasonable worth",five
"worst french",one
"indian delicious good full awesome hooked last flavorful creamy silky perfect excellent traditional great pricey generous nice lovely friendly helpful small other various",five
"worst candid bad",one
"great traditional old stale stark other perfect good",five
"2nd other nasty good anemic 2pm worst whole expensive private financial last medical due many",one
"",one
"other worth new amazing",five
"gross sanitary old gray big",one
"great",five
"great wrong usual clueless reasonable",five
"same",one
"few cellular new worth free able several other excellent",five
"located beautiful middle lush green heady favorite various secluded bluesy sultry melancholy romantic great happy 6pm hot gorgeous own private entire",five
"negative possible absolute worst interested unprofessional 2nd unresponsive full other complete",one
"bad fresh poor huge big new",five
"routine additional internal",one
"excellent clean decent fresh rare warm welcome super friendly same particular automatic",five
"horrible different",one
"less",five
"many different nice helpful good super extra floral big",five
"timely straightforward same red new electronic other old last smoother grand dangerous busy diagnostic free wrong exact least honest different adamant",one
"impressed quaint nice small luxurious hung beautiful excellent vast cold located great central",five
"lovely clean hilarious nice extra middle prepared great",five
"possible middle quiet",one
"bad particular cheap glib non specific sorry open other big surprised various smart honest nice",five
"presidential lower last funny same idiotic nice stressful incoherent irresponsible higher viable",one
"unthinkable personal great busy other sweet recent difficult weird happy biggest overwhelming wise open disappointed federal new forthcoming big rude",one
"tony impressed fantastic many extra such great special affordable big tasty ample other",five
"busy rude dirty clean",one
"fortunate 36th funky 44th easier original located open favorite amusing many frustrated worth slow",five
"last sick",one
"low friendly",one
"massive local cancerous lucky alive",one
"same ecstatic familiar shady bad lighthearted friendly possible second good horrific sick least old frozen positive huge unruly",one
"other mid empty invisible narrow ready select lonely nefarious frightened toofless defenseless hasty gentle harrowing new safe grateful alive",one
"great least few",five
"less awful correct wrong different new large",one
"ridiculous",one
"original italian decent terrific large deluxe thin extra great bolder spicier good last delicious special wrong hot",five
"hot big meaty good proclaimed different whole great pickiest actual cold single delicious huge",five
"mexican odd curious political obvious wonderful independent",five
"wrong",one
"true weird particular awesome middle healthy such soothing professional same successful naturopathic",five
"wonderful amazing beautiful nice great sweet bland",five
"other same original",one
"terrible seasoned mexican worse good",one
"true modern clean helpful friendly wonderful",five
"older rude helpful dirty glad ugly",one
"impressed",one
"free newer nice similar new good old noisy cheap",one
"full incompetent simple",one
"great nice effective super good",five
"elderly other complete free busy third able convinced picky different various worse second such heavy misdiagnosed prolonged veterinary",one
"big beautiful nostalgic last interested least other super friendly attentive new",five
"poor mexican mediocre terrible high disappointed bad old",one
"authentic italian poor rude able great good big",one
"28th correct angry incorrect frustrated funny english seperate",one
"fabulous great private super wonderful sleek",five
"good great affordable receptive",five
"less rudest",one
"negative absolute worst less horrid additional safe",one
"hopeful good cute young whole full nice friendly fabulous entire sick thin cheesy greasy white same other bad numerous awkward poorest doughy flavorful bland red unable busy least unpleasant",one
"helpful great seasonal",five
"amazing unique available legendary altered many other big tall professional wonderful",five
"big nice such warm friendly great sweet second glad new",five
"great cheap dark",one
"small uncomfortable excellent outstanding good glad",five
"several important old great different hearty delicious 7am few quicker hot free",five
"sublime perfect",five
"friendly funny bridal satisfied amazing",five
"good bad conscious impressed appetizing unprocessed unrefined aforementioned okay dark cloudy free few whole",one
"old western mechanical large musical uninspired okay bad funny",one
"disappointed crushed unreadable",one
"small narrow 2min happy insane sloppy 2nd globbed big irritated pointed worse possible same gross good correct rough pointless full dry",one
"",one
"glad complete possible",one
"free last wrong terrible",one
"last friendly mannered huge open picky safe awful previous worth decent",one
"other professional polite reasonable extra few minor last slow wrong new unplugged good",five
"outstanding professional",five
"immaculate gorgeous new located minor due particular busy many full burnt slight awesome free",five
"awesome outdoor quaint local baked delicious unique good super english fresh",five
"horrible groggy normal happy upset wrong",one
"botanical wonderful helpful responsive important main comfortable breathtaking few pleased easy general amazing happier",five
"less impressed rude extra new exact welcome free worst older comparable cheap",one
"happier last effortless quick professional helpful stellar surprised big own disappointed complete",five
"wrong absolute worst less craptastic lazy poor fecal okay bad good",one
"great happy",five
"chinese finest least freshest available other asian special whole edible great weird middle",five
"special spotty parisian hot perfect",five
"rude old",one
"traditional own",five
"horrible",one
"great awesome friendly easier bad previous",five
"ready quick same big",one
"good tasty free simple fantastic awesome personable usual complete few quick great",five
"hot new lovely healthy beautiful uneducated many particular pointed healthiest personal grateful dirty seasoned",five
"normal same wrong clear larger urgent",one
"slow good",one
"complete great outstanding",five
"worst old dirty new flat terrible safe",one
"great",five
"last dirty hot bad non mediocre own",one
"open rude small",one
"cheap warm absolute fabulous original friendly reasonable nice interested",five
"usual quick nice extra cheesy favorite",five
"cheap due bad surprised different previous personal dismal",one
"excellent",five
"rude unwelcome",one
"pleased bad initial new several respectable rude stressed worse previous old second unhelpful aggressive due electrical ignorant slight sufficient less bothersome particular negative fleeting worth free",one
"hot terrible shoddy english extreme poor good mechanical",one
"awesome least worth",five
"worst last unhelpful complete",one
"scary fantastic great mexican delicious good tasty",five
"amazing other slippery super nice knowledgeable quick recent flat",five
"same drunker lamer old dark interesting",one
"impressed high foremost outstanding fabulous hot unique prepared amazing regular",five
"original fresh",five
"wrong complete astonished frustrated sad corporate",one
"authentic italian good",five
"horrendous upset different lovely white pleased several",five
"willing federal",one
"favorite tired basic flippant last golden great italian asian fantastic 30am constant non drunk hung small 7up wonderful least safe rapid reasonable fecal usual complete bad bodily horrific careful liable",one
"nice wrong full old less impressive necessary due financial mandatory new low furious least angry regular horrible honest straightforward knowledgeable certain",one
"favorite many striped sweet sour brown good quiet great",five
"disappointing last packed diverse perplexed awesome perfect decent middle full mixed general friendly important clean",five
"central positive available thorough diabetic annual primary whole last normal extra",five
"awesome few blue good other basic same bad clean polite",five
"excellent flavorful natural many least good",five
"guilty friendly yummy great",five
"such native wet",five
"old impressed worried nervous sweet tricky traditional perfect great cute big complete good",five
"great nice helpful full distraught single pleased",five
"older aggressive open other several dissatisfied",one
"mexican bright tasty greasy bad disinterested non facial terrible drab gimmicky full unflattering appetizing red extra white good massive okay few other hot such nice lovely free mute bland huge steep",one
"wrong hot small located wonderful",five
"",one
"such wonderful different good professional attentive many",five
"good amazing romantic",five
"few sick mexican glad cute own great excellent courteous",five
"new red last horrible slow usual dead unfriendly unapproachable monotonous crazy other good miserable unpleasant personal",one
"several lowest easy true great",five
"italian odd friendly uninspired afraid old limp brown gimmicky wrong virtual",one
"fantastic great good",five
"few expensive cheaper worth higher last",one
"japanese native wonderful",five
"less awful other single drivable own free outrageous few additional legal cheap rudest grand unrequested bad",one
"amazing last stunning great worth wonderful",five
"awesome super nice talkative professional whole trim",five
"central favorite busy new huge sorry larger bad fantastic entire clear nice botanical",five
"good dry bland sick",one
"horrible smallest naive sweet outraged other",one
"low fantastic",five
"last awful new bland other wrong able",one
"original fresh prepared tasty",five
"last lucky",one
"excellent exemplary enthusiastic pushy prepared nice thick fresh clean least chewy warm tasteful old",five
"",one
"great italian tangy fabulous reasonable",five
"poopy worth awesome lame valuable old yellow entire full big",one
"favorite young beautiful private gentle dental",five
"flawless old other same less regular great traditional delicious located largest",five
"good happy delicious personal mixed blue disappointed heavy friendly helpful",five
"horrible middle sour",one
"major dead",one
"sick serious upset same cheap plentiful",one
"bad french white clean previous different younger same possible horrible",one
"good old wooden",five
"afraid absolute general girly nearest big lovely disappointed second reliable",one
"everyday nice accurate",five
"good new impressed great pricey worth located blue ready",five
"grilled burnt good least happy",one
"absolute bad spare local individual higher different great other low original everyday clear dishonest",one
"hesitant other larger personal smaller large surprised clear aesthetic general few obvious tough different helpful supportive entire important narrow minor",five
"thick ready",five
"several wrong valid new other 60k additional glad",one
"routine wrong worth ridiculous great important rude negative",one
"nice",five
"new same slow",five
"few bloody able gorgeous surprised full unmanageable insightful slow several intense many different good particular worst big same rude ugly loud wrong stern horrible less sorry respectable",one
"exceptional reasonable several polite professional big pointed",five
"fest crazy true unacceptable hung complimentary small open whole dirty worth least different wrong happy many such horrible absolute few",one
"terrible flavorless mushy green few packed black tiny overcooked small outrageous",one
"open",one
"impersonal inattentive rude new cold empty good great limited disappointing entire sorry bad last",one
"local independent huge corporate other horrible great",one
"amazing able reasonable helpful wrong",five
"excellent favorite",five
"worst different able new illegal huge",one
"medical high pre physical regular mad whole wrong worst clueless",one
"amazing apprehensive professional incredible affordable surprised younger",five
"special personable red great",five
"valuable last experienced sad cheap astonished many old bad nasty frequent",one
"picky open same poor friendly helpful quick fresh other chinese white hot mongolian good",five
"presbyterian easy foremost adult blended grateful new same different quiet intimate quaint contemporary amazing traditional main warm interested cautious spiritual",five
"largest alarmed rusty awesome less other elusive warm",one
"bald dark young respectful main funny snobbish same retail previous current rude different annoyed whole few new acceptable big okay stupid full wrong",one
"free",one
"red nice baked overcooked dry edible third terrible rich good friendly bad",one
"new ultimate sweet good",five
"worst horrible such scary able happy",one
"comparable slow soft greasy tall nice same good whole present extra other",five
"welcome several last intimate favorite cozy great authentic french pricey reasonable ready pre delectable tart delicious savory happier additional lemon such",five
"amazing cheap extra big",five
"poor disappointing large thin 40min other ready same cold new reasonable good hot",one
"favorite middle central",five
"honest other new great several simple exaggerated affordable dishonest",five
"worst new sick adequate rude clean free bad personal",one
"great fresh delicious",five
"small pricey worth east central distinctive urban notorious suburban artistic lengthy latter embarrassed last disappointed favorite available good larger naked",five
"low hot whole good",one
"italian romantic extra entire intimate attentive great gigantic generous smaller large heavenly white beautiful ripe different",five
"bad",five
"cheap bad free cold dry",one
"worst italian",one
"wide good wonderful great unhealthy unhealthly equal adult full many interesting youngest soft least perfect tasty",five
"welcome big least favorite dirty other bavarian bad",one
"absolute favorite great small",five
"amazing great",five
"mild low free less",one
"swanky happy open delicious fresh",five
"great terrible",one
"great disappointed runny soft separate complete gross worst awful empty clear own good",one
"expensive gorgeous blue biblical spotted favorite black high honest nervous several negative equal positive helpful understandable fabulous visible outrageous fair",five
"amazing friendly helpful",five
"local stressed 10ish 6ish",one
"worthy coolest aforementioned good different",five
"good second tiny decent huge dead extra picky",one
"great good insulting least less useless",one
"bavarian less fantastic weird honest few other able",five
"",five
"low wild",five
"sorry regular horrible",one
"dumb worst clueless useless cocky young restless sick full sad new clear correct lazy local low honest good responsible accountable contagious",one
"inconsistent available free",one
"slow able entire full disappointing operational unprofessional unsatisfied",one
"favorite italian complimentary leisurely good great",five
"informative professional good outstanding",five
"whole entire",one
"stunning able gorgeous solid nice thin",five
"greasy ridculous sanitary glad great seasoned southern",one
"favorite recent important quick easy many stuffy newer cleaner minor least fresher",one
"amazing nicer delicious fresh",five
"new big other last",one
"inconsistent disappointing least professional unprofessional other competent able basic",one
"bad different",one
"redundant insane good whole",five
"excellent special great easy",five
"new good open crappy",one
"awful ready clean overwhelming nauseating bad gloomy dirty outrageous happy less stinky old",one
"similar thicker special old okay small flimsy sad own spare",one
"many friendly chunky happy awesome bad local",five
"rude obnoxious familiar interested unwelcomed uncomfortable least",one
"few good nice older bad last rude",one
"awesome pricey great chinese",five
"",five
"safe good few other 2nd wrong english happy hungry spare high big third dry free chinese last okay unsatisfied angry unfriendly",one
